Material Code ,Material Description,Unit, Price 
MS05.0004,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE IV),M," 24,044.89 "
MS05.0005,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE IV-A),M," 22,899.90 "
MS05.0006,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE IV-B),M," 22,917.71 "
MS05.0007,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE V),M," 30,401.04 "
MS05.0008,PRESTRESSED CONCRETE GIRDER (AASHTO TYPE VI),M," 41,909.83 "
MS05.0009,PRESTRESSED CONCRETE ANCHORAGE ASSEMBLY,SET, 506.00 
MS05.0010,"DUCT TUBE, GALVANIZED METAL (50 mm Ø)",M, 64.24 
MS05.0011,HIGH-TENSILE WIRE STRAND (12.70 mm Ø),KG, 73.53 
MS06.0001,"MANUAL CALL POINT, CONVENTIONAL",PC," 1,537.36 "
MS06.0002,"FIRE ALARM BELL, CONVENTIONAL",PC," 1,345.52 "
MS06.0003,"ANNUNCIATOR, CONVENTIONAL",PC," 6,918.56 "
MS06.0004,"SMOKE DETECTOR, CONVENTIONAL",PC," 1,873.52 "
MS06.0005,"GI CAP, BANDED (1/2"" | 12.7 mm Ø)",PC, 31.42 
MS06.0006,"GI CAP, BANDED (3/4"" | 19 mm Ø)",PC, 23.94 
MS06.0007,"GI CAP, BANDED (1"" | 25.4 mm Ø)",PC, 41.36 
MS06.0008,"GI CAP, BANDED (1 1/2"" | 38 mm Ø)",PC, 54.56 
MS06.0009,"GI CAP, BANDED (2"" | 50 mm Ø)",PC, 54.56 
MS06.0010,"GI COUPLING (1/2"" | 12.7 mm Ø)",PC, 14.28 
MS06.0011,"GI COUPLING (3/4"" | 19 mm Ø)",PC, 17.14 
MS06.0012,"GI COUPLING (1"" | 25.4 mm Ø)",PC, 24.75 
MS06.0013,"GI COUPLING (1 1/2"" | 38 mm Ø)",PC, 40.48 
MS06.0014,"GI COUPLING (2"" | 50 mm Ø)",PC, 57.13 
MS06.0015,"GI PLUG (1/2"" | 12.7 mm Ø)",PC, 19.04 
MS06.0016,"GI PLUG (3/4"" | 19 mm Ø)",PC, 23.80 
